onset	duration	trial_type	response_time	word	gender	age	sub	ses	task	run	year	month	day	hour	minute	concreteness	con	trial_type1
340.9868911001832	0.6979446001350311	word_neu	0.6754213999956846	satire	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	1.96	abstract	abstract
350.98731200024486	0.6974238995462656	word_neu	0.5590677000582218	escalator	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	5	concrete	concrete
360.9869884997606	0.6978834001347423	word_neg	0.8035132996737957	rake	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.84	concrete	concrete
370.9868064997718	0.6980778006836772	word_neu	0.59338069986552	era	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.24	abstract	abstract
380.9872757997364	0.697830100543797	word_neu	0.6864422997459769	soccer	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.76	concrete	concrete
390.9873941997066	0.6977499006316066	word_pos	0.4935021996498108	pumpkin	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.9	concrete	concrete
400.9872570000589	0.6979643004015088	word_pos	0.5844021998345852	read	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.56	abstract	abstract
410.9875876000151	0.6977952001616927	word_neu	0.6594295995309949	scooter	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.96	concrete	concrete
420.9881186997518	0.6971376007422805	word_neg	0.4529950004070997	politician	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.33	abstract	abstract
430.9875480998308	0.6979574002324966	word_neg	0.5416085002943873	folly	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	1.92	abstract	abstract
440.9877668004483	0.697716599330306	word_neu	0.4259681003168225	advice	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.73	abstract	abstract
450.9881592001766	0.6974219996482134	word_neu	0.9609187999740244	accordion	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.86	concrete	concrete
460.9880200996995	0.6975492006167769	word_neg	0.5926208002492785	mayor	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.37	abstract	abstract
470.9879248002544	0.6977105997502804	word_pos	0.4912203997373581	dinner	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.5	abstract	abstract
480.9899292001501	0.6959370002150536	word_neu	0.5092181004583836	quantity	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.97	abstract	abstract
490.9885069997981	0.6974470000714064	word_pos	0.4585168994963169	chocolate	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.72	concrete	concrete
500.9880309998989	0.6979587003588676	word_neg	0.3937873998656869	fee	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.89	abstract	abstract
510.9881186997518	0.6980290003120899	word_neg	0.4595141001045704	sin	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	1.85	abstract	abstract
520.9884152999148	0.6976169999688864	word_neu	0.4930387996137142	finger	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	5	concrete	concrete
530.9882962005213	0.6978182997554541	word_pos	0.4016362000256777	girl	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.85	concrete	concrete
540.9885416002944	0.6976760998368263	word_neg	0.4764721998944878	lost	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.67	abstract	abstract
550.9888209002092	0.6974281994625926	word_pos	0.6435088999569416	hygiene	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.11	abstract	abstract
560.9886678000912	0.6977254003286362	word_pos	0.6945511000230908	forest	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.76	concrete	concrete
570.9900817004964	0.6964089991524816	word_neu	0.5520144999027252	church	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.9	concrete	concrete
580.9888134002686	0.6976854000240564	word_pos	0.310045899823308	cheese	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.7	concrete	concrete
590.989092499949	0.697563000023365	word_neu	0.4936105003580451	prairie	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.8	concrete	concrete
